timestamp,stock,best_bid,best_ask,bid_size,ask_size,mid_price,signal,future_return_1s,future_return_3s,future_return_5s
2024-01-01 10:29:01,AMZN,223.75,223.8,100.0,200.0,223.775,0.00012203307096222045,0.0,0.0002457825941234651,0.0004915651882470572
2024-01-01 10:29:02,AMZN,223.75,223.8,100.0,200.0,223.775,0.00012203307096222045,0.0,0.00022343872193043434,0.0004915651882470572
2024-01-01 10:29:03,AMZN,223.75,223.8,400.0,200.0,223.775,0.0,0.0002457825941234651,0.0004915651882470572,0.0006032845492123379
2024-01-01 10:29:04,AMZN,223.76,223.9,100.0,200.0,223.82999999999998,-0.00012698953163847726,-2.233838180760154e-05,0.00024572219988387093,0.00033507572711440406
2024-01-01 10:29:05,AMZN,223.75,223.9,716.0,200.0,223.825,0.00013989692830477612,0.00026806656986485996,0.0003797609739752394,0.00026806656986485996
2024-01-01 10:29:06,AMZN,223.81,223.96,100.0,100.0,223.885,-0.000128229538011911,0.0,8.933157647904162e-05,-0.00011166447059864334
2024-01-01 10:29:07,AMZN,223.81,223.96,100.0,100.0,223.885,-0.000128229538011911,0.00011166447059877029,0.0,-0.00011166447059864334
2024-01-01 10:29:08,AMZN,223.82,224.0,200.0,200.0,223.91,-0.0002399488989771233,-2.2330400607366586e-05,-0.0002233040060737928,-0.0002233040060737928
2024-01-01 10:29:09,AMZN,223.81,224.0,16.0,230.0,223.905,-9.053830037560512e-05,-8.932359706129935e-05,-0.00020097809338776487,-0.00020097809338776487
2024-01-01 10:29:10,AMZN,223.79,223.98,30.0,30.0,223.885,-0.00026806656986488875,-0.00011166447059864334,-0.00011166447059864334,-0.00011166447059864334
2024-01-01 10:29:11,AMZN,223.76,223.96,30.0,16.0,223.86,0.00011166447059862694,0.0,0.0,0.0
2024-01-01 10:29:12,AMZN,223.76,223.96,30.0,129.0,223.86,0.00011166447059862694,0.0,0.0,0.0
2024-01-01 10:29:13,AMZN,223.76,223.96,30.0,129.0,223.86,0.00022330400607384338,0.0,0.0,0.00013401232913415846
2024-01-01 10:29:14,AMZN,223.76,223.96,36.0,129.0,223.86,0.0002009780933878158,0.0,0.0,0.00013401232913415846
