stock,minute,sample,algo_buy_time,algo_sell_time,algo_buy_price,algo_sell_price,pred_buy_regret,pred_sell_regret,buy_vwof,sell_vwof,buy_micro_momentum,sell_micro_momentum,buy_spread,sell_spread,buy_threshold,sell_threshold,buy_trigger,sell_trigger
AAPL,1900-01-01 11:33:00,train,1900-01-01 11:33:58.662,1900-01-01 11:33:23.813,585.0,585.26,0.03448183178948236,0.06713783263264059,0.3055813953487661,-0.13885778275472035,-0.036190478975868245,-2.9262992029543966e-09,0.08000000000004093,0.03999999999996362,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:34:00,train,1900-01-01 11:34:50.185,1900-01-01 11:34:24.543,584.96,584.8,0.05841722804443128,0.07413723129995385,0.0014983518130052447,-0.25883476599802796,0.04169491029699657,-0.012068985683981737,0.12000000000000455,0.10000000000002274,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:35:00,train,1900-01-01 11:35:52.869,1900-01-01 11:35:26.255,584.62,584.69,0.062145443884554646,0.07537113016945418,0.0073132895028435166,-0.04321848237402047,0.0199999025650186,-2.9236844056867994e-09,0.06000000000005912,0.07999999999992724,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:36:00,train,1900-01-01 11:36:48.688,1900-01-01 11:36:39.969,584.6,584.54,0.05178092303402393,0.06143939274771665,0.03320587643388343,0.022213783937721242,-2.922888597822748e-09,-2.922888597822748e-09,0.05000000000006821,0.12000000000000455,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:37:00,train,1900-01-01 11:37:51.840,1900-01-01 11:37:38.601,584.95,584.86,0.03941993550749724,0.07632374811051551,-0.08936170212764435,0.015086206896549013,-0.02045454758138021,0.021666664716917694,0.09000000000003183,0.12999999999999545,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:38:00,train,1900-01-01 11:38:34.006,1900-01-01 11:38:33.998,584.96,584.85,0.06186418742177885,0.05296950300018864,0.17026194144831655,0.07626023265830406,-0.004545457204130798,-0.007325594997269036,0.10000000000002274,0.09000000000003183,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:39:00,train,1900-01-01 11:39:51.318,1900-01-01 11:39:24.362,585.2,585.17,0.05851937363618559,0.07025252712500367,-0.11209439528021531,-0.050108932461864535,0.059999999024739736,-0.006808875717297269,0.14000000000010004,0.07000000000005002,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:40:00,train,1900-01-01 11:40:47.336,1900-01-01 11:40:32.693,584.7,584.93,0.049961813154334525,0.06552571139899313,-0.10790345480357123,0.03931016992136969,0.052304960391097666,0.015889568757643246,0.020000000000095497,0.12999999999999545,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:41:00,train,1900-01-01 11:41:50.618,1900-01-01 11:41:21.628,584.92,584.98,0.05710858139217183,0.07053920193417319,0.1245816288582653,0.026783704704025794,-0.0572093050454896,-0.03920047872281884,0.12000000000000455,0.01999999999998181,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:42:00,train,1900-01-01 11:42:52.125,1900-01-01 11:42:44.627,584.97,584.77,0.033719249865850245,0.03896845563855053,-0.03142076502731167,0.014521452145209729,-0.011397382466725503,-1.624573542358121e-08,0.07000000000005002,0.15999999999996817,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
